 Review , Score 
Kindly ponder if distance sensor or proximity sensor could be used in determining a car dent or damage on the car. ,{'neu': 0.738, 'compound': 0.0, 'pos': 0.131, 'neg': 0.131}
Ross Shkuratov,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
You guys need to give Acura some love. Seems like Honda is mor focused on and gets the most modern features, engines, and designs. Growing up it was the opposite. ,{'neu': 0.703, 'compound': 0.875, 'pos': 0.297, 'neg': 0.0}
You had cars like the Integra Type R, first gen TSX with a 6spd option etc.  ,{'neu': 0.848, 'compound': 0.3612, 'pos': 0.152, 'neg': 0.0}
hopefully one day you can have $35-40k performance coupe or sedan that actually  competes in its class and isn't only a good value,{'neu': 0.727, 'compound': -0.1882, 'pos': 0.103, 'neg': 0.17}
Konain Saif,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
There are a fair few hydrogen fuel station in area of Germany where I live, it is a little baffling as to why Fuel Cell cars are not being worked on with more gusto and haste by more major manufacturers.,{'neu': 0.94, 'compound': 0.3182, 'pos': 0.06, 'neg': 0.0}
James Van Hess,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
Don't you worry, there's more being done behind the scenes than you think.,{'neu': 0.833, 'compound': 0.3412, 'pos': 0.167, 'neg': 0.0}
Casey Goodman,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
When can I get a Fuel Cell for my RV?,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
James Gilpatrick,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
I've test driven this vehicle and it is phenomenal. All we need now are more hydrogen fueling stations. ,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
Robert Peterson,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
Hydrogen refineries up to the task of keeping a large country like America running?,{'neu': 0.828, 'compound': 0.3612, 'pos': 0.172, 'neg': 0.0}
Jesus Bejarano,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
I like the honda cars because I am going to buy one thanks,{'neu': 0.625, 'compound': 0.6597, 'pos': 0.375, 'neg': 0.0}
Jesus Bejarano,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
Jesus Bejarano say I like the Honda cars because it is the best for me thanks,{'neu': 0.556, 'compound': 0.8625, 'pos': 0.444, 'neg': 0.0}
Jeff Smolinske,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
I really like the new Civic but I won't buy a car without a volume control knob.,{'neu': 0.864, 'compound': 0.2255, 'pos': 0.136, 'neg': 0.0}
Rashida Robinson,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
nice,{'neu': 0.0, 'compound': 0.4215, 'pos': 1.0, 'neg': 0.0}
David Nenno,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
Solar panels aren't charging that battery,  wouldn't that statement put you in the realm of VW. ,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
Just market electric as performance because from birth to grave it makes more pollution than a light duty Diesel engine.,{'neu': 0.874, 'compound': -0.3818, 'pos': 0.0, 'neg': 0.126}
Richard Jennings,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
Very nice,{'neu': 0.244, 'compound': 0.4754, 'pos': 0.756, 'neg': 0.0}
Emmanuel Essel,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
that's good,{'neu': 0.256, 'compound': 0.4404, 'pos': 0.744, 'neg': 0.0}
Matthew Sullivan,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
Always innovating!,{'neu': 1.0, 'compound': 0.0, 'pos': 0.0, 'neg': 0.0}
I am glad to know this result in Honda. I think Acura need the car that have market potential. ,{'neu': 0.842, 'compound': 0.4588, 'pos': 0.158, 'neg': 0.0}
